date,numeric_wf,binary_wf
2014-07-03,2,1
2014-07-06,1,1
2014-07-18,1,1
2014-07-27,1,1
2014-08-07,1,1
2014-09-04,1,1
2014-09-14,1,1
2015-03-08,1,1
2015-03-13,1,1
2015-03-17,1,1
2015-03-22,1,1
2015-03-24,1,1
2015-03-31,1,1
2015-04-10,1,1
2015-04-14,1,1
2015-04-17,1,1
2015-04-18,1,1
2015-04-19,2,1
2015-04-20,1,1
2015-04-29,1,1
2015-05-02,1,1
2015-05-12,1,1
2015-05-17,1,1
2015-05-20,1,1
2015-05-27,2,1
2015-05-31,1,1
2015-06-01,1,1
2015-06-06,1,1
2015-06-08,1,1
2015-06-10,1,1
2015-06-14,2,1
2015-06-16,1,1
2015-06-17,4,1
2015-06-26,2,1
2015-06-27,1,1
2015-06-28,2,1
2015-06-29,1,1
2015-06-30,2,1
2015-07-03,1,1
2015-07-04,1,1
2015-07-06,1,1
2015-07-07,1,1
2015-07-10,1,1
2015-07-11,2,1
2015-08-12,1,1
2015-08-13,1,1
2015-08-18,1,1
2015-08-23,1,1
2015-09-29,1,1
2015-11-11,1,1
2015-12-06,1,1
2015-12-31,1,1
2016-02-27,1,1
2016-03-20,1,1
2016-03-21,1,1
2016-03-23,1,1
2016-04-17,1,1
2016-04-21,1,1
2016-05-06,2,1
2016-05-08,3,1
2016-05-09,1,1
2016-05-11,1,1
2016-05-16,1,1
2016-05-21,2,1
2016-05-27,1,1
2016-05-28,1,1
2016-07-20,1,1
2016-07-28,1,1
2016-08-28,1,1
2016-08-30,1,1
2016-09-14,1,1
2016-09-15,2,1
2016-09-17,1,1
2016-09-25,1,1
2016-10-09,1,1
2017-03-16,1,1
2017-03-26,3,1
2017-04-01,1,1
2017-04-05,1,1
2017-04-08,1,1
2017-04-09,1,1
2017-04-29,1,1
2017-05-01,1,1
2017-05-06,1,1
2017-05-08,1,1
2017-05-09,1,1
2017-05-16,3,1
2017-05-17,1,1
2017-05-22,1,1
2017-05-25,2,1
2017-05-26,1,1
2017-05-27,3,1
2017-05-29,1,1
2017-05-30,1,1
2017-06-02,1,1
2017-06-05,1,1
2017-06-08,1,1
2017-06-10,1,1
2017-06-11,1,1
2017-06-12,1,1
2017-06-13,1,1
2017-06-15,1,1
2017-06-16,2,1
2017-06-17,2,1
2017-06-19,2,1
2017-06-20,3,1
2017-06-21,1,1
2017-06-22,2,1
2017-06-23,2,1
2017-06-24,1,1
2017-06-25,2,1
2017-06-26,1,1
2017-07-03,1,1
2017-07-09,1,1
2017-07-10,2,1
2017-07-13,1,1
2017-08-30,1,1
2017-10-18,1,1
2017-11-02,1,1
2018-01-06,1,1
2018-01-27,1,1
2018-02-24,1,1
2018-03-04,2,1
2018-04-08,1,1
2018-04-17,1,1
2018-04-19,1,1
2018-04-22,1,1
2018-05-04,1,1
2018-05-06,1,1
2018-05-09,1,1
2018-05-20,1,1
2018-06-04,1,1
2018-06-23,1,1
2018-06-27,1,1
2018-06-29,1,1
2018-06-30,2,1
2018-07-01,3,1
2018-07-02,1,1
2018-07-03,1,1
2018-07-04,1,1
2018-07-05,3,1
2018-07-08,1,1
2018-07-12,1,1
2018-07-14,2,1
2018-07-15,1,1
2018-07-16,2,1
2018-07-18,2,1
2018-07-19,1,1
2018-07-23,2,1
2018-07-26,1,1
2018-07-27,2,1
2018-07-30,2,1
2018-07-31,2,1
2018-08-02,1,1
2018-08-05,1,1
2018-08-06,2,1
2018-08-07,2,1
2018-08-12,1,1
2018-08-16,1,1
2018-08-24,1,1
2018-09-15,1,1
2018-09-16,1,1
2018-10-05,1,1
2018-10-14,1,1
2018-10-20,1,1
2018-11-01,1,1
2018-11-02,1,1
2018-11-07,1,1
2019-02-25,1,1
2019-04-12,1,1
2019-04-14,1,1
2019-04-15,1,1
2019-04-20,1,1
2019-04-21,1,1
2019-04-22,1,1
2019-04-23,4,1
2019-04-25,1,1
2019-04-29,1,1
2019-05-15,1,1
2019-05-23,1,1
2019-05-29,1,1
2019-05-30,1,1
2019-06-01,1,1
2019-06-02,2,1
2019-06-17,1,1
2019-06-26,1,1
2019-06-28,1,1
2019-07-08,2,1
2019-07-21,1,1
2019-07-24,1,1
2019-08-05,1,1
2019-08-08,1,1
2019-08-09,1,1
2019-08-25,1,1
2019-09-21,2,1
2019-09-22,2,1
2020-04-02,1,1
2020-04-04,1,1
2020-04-09,1,1
2020-04-14,1,1
2020-04-15,1,1
2020-04-20,1,1
2020-04-21,4,1
2020-04-22,2,1
2020-04-24,1,1
2020-04-27,2,1
2020-04-29,1,1
2020-05-03,1,1
2020-05-04,2,1
2020-05-08,1,1
2020-05-09,2,1
2020-05-10,2,1
2020-05-17,2,1
2020-05-18,2,1
2020-05-19,1,1
2020-05-20,1,1
2020-05-21,3,1
2020-05-30,1,1
2020-06-04,1,1
2020-07-30,1,1
2020-08-04,1,1
2020-08-07,1,1
2020-08-08,1,1
2020-08-13,1,1
2020-08-17,1,1
2020-09-01,1,1
2020-09-03,1,1
2020-09-07,1,1
2020-09-12,2,1
2020-09-13,1,1
2020-09-14,2,1
2020-09-24,1,1
2020-10-28,1,1
2020-11-29,1,1
2020-12-20,1,1
2021-03-27,1,1
2021-03-28,1,1
2021-03-29,2,1
2021-03-31,1,1
2021-04-17,1,1
2021-04-22,1,1
2021-04-25,3,1
2021-04-26,1,1
2021-04-27,1,1
2021-05-01,1,1
2021-05-02,1,1
2021-05-29,1,1
2021-05-30,1,1
2021-06-08,2,1
2021-06-13,2,1
2021-06-14,1,1
2021-06-15,2,1
2021-06-17,2,1
2021-07-21,1,1
2021-07-22,1,1
2021-08-02,1,1
2021-08-03,1,1
2021-08-19,1,1
2021-08-30,1,1
2022-03-03,3,1
2022-03-04,1,1
2022-03-09,1,1
2022-03-17,1,1
2022-03-19,1,1
2022-03-27,1,1
2022-03-28,1,1
2022-04-14,1,1
2022-04-19,1,1
2022-04-21,1,1
2022-04-24,1,1
2022-04-28,1,1
2022-04-29,1,1
2022-05-01,1,1
2022-05-02,1,1
2022-05-04,1,1
2022-05-05,1,1
2022-05-10,1,1
2022-05-11,1,1
2022-05-15,2,1
2022-05-16,1,1
2022-05-18,2,1
2022-06-02,1,1
2022-07-05,1,1
2022-07-10,1,1
2022-07-11,1,1
2022-07-14,1,1
2022-07-16,1,1
2022-07-18,4,1
2022-07-23,1,1
2022-07-27,1,1
2022-07-29,1,1
2022-08-06,2,1
2022-08-09,2,1
2022-08-10,2,1
2022-08-11,2,1
2022-08-12,3,1
2022-08-13,4,1
2022-08-14,1,1
2022-08-16,1,1
2022-08-23,1,1
2022-08-28,1,1
2022-08-29,1,1
2022-08-31,3,1
2022-09-02,1,1
2022-09-06,1,1
2022-10-16,1,1
2022-10-23,1,1
2023-01-07,1,1
2023-02-27,1,1
2023-03-04,1,1
2023-04-08,1,1
2023-04-17,1,1
2023-04-20,1,1
2023-06-01,1,1
2023-06-02,1,1
2023-06-03,2,1
2023-06-04,3,1
2023-06-08,1,1
2023-06-09,1,1
2023-06-10,1,1
2023-06-11,2,1
2023-06-12,1,1
2023-06-13,5,1
2023-06-14,4,1
2023-06-15,1,1
2023-06-17,1,1
2023-06-20,1,1
2023-07-05,1,1
2023-07-08,1,1
2023-07-11,1,1
2023-07-14,1,1
2023-07-17,1,1
2023-07-19,1,1
2023-08-15,1,1
2023-09-30,1,1
2023-10-12,1,1
2023-11-10,1,1
2024-04-14,1,1
2024-06-04,1,1
2024-07-29,1,1
2024-08-07,1,1
2024-08-11,1,1
2024-10-19,1,1
2025-03-07,2,1
2025-03-11,1,1
2025-03-24,1,1
2025-03-25,1,1
2025-03-31,2,1
2025-04-01,1,1
2025-04-02,1,1
2025-04-03,1,1
2025-04-04,1,1
2025-04-06,1,1
2025-04-07,1,1
2025-04-08,1,1
2025-04-12,1,1
2025-04-13,2,1
2025-04-18,4,1
2025-04-19,3,1
2025-04-22,2,1
2025-04-23,1,1
2025-04-24,1,1
2025-04-29,1,1
2025-05-01,1,1
2025-05-03,1,1
2025-05-04,3,1
2025-05-12,1,1
2025-05-13,2,1
2025-05-14,1,1
2025-05-16,1,1
2025-05-17,1,1
2025-05-18,1,1
2025-05-19,1,1
2025-05-21,1,1
2025-05-22,1,1
2025-05-23,2,1
2025-06-13,1,1
2025-06-16,1,1
2025-06-18,2,1
2025-06-20,1,1
2025-06-21,2,1
2025-06-22,1,1
2025-06-25,1,1
2025-06-29,1,1
2025-06-30,1,1
2025-07-01,1,1
2025-07-05,1,1
2025-07-14,1,1
2025-07-24,1,1
2025-07-30,1,1
2025-08-10,1,1
2025-08-12,1,1
2025-08-13,1,1
2025-08-17,1,1
2025-08-23,1,1
2025-08-25,1,1
2025-08-26,1,1
2025-08-27,1,1
2025-09-29,1,1
2025-10-01,1,1
2025-10-02,1,1
2025-10-15,1,1
2025-10-17,1,1
2025-10-19,2,1
2025-11-16,1,1
